	Recording timestamp	Eye movement type index	Gaze event duration	Fixation point X	Fixation point Y	target	phone_x	phone_y
0	1361818.0	1893	1140.0	976.0	422.0	cell phone	0.6287425149700598	0.5287356321839081
1	1362547.0	1894	200.0	803.0	129.0	surroundings		
2	1363887.0	1895	200.0	1213.0	348.0	surroundings		
3	1364847.0	1896	140.0	490.0	51.0	surroundings		
4	1365107.0	1897	160.0	516.0	34.0	surroundings		
5	1365567.0	1898	120.0	1188.0	28.0	building		
6	1365787.0	1899	160.0	928.0	93.0	building		
7	1366096.0	1900	100.0	1140.0	82.0	building		
8	1367566.0	1901	120.0	816.0	16.0	surroundings		
9	1368326.0	1902	80.0	1435.0	24.0	surroundings		
10	1368896.0	1903	140.0	1244.0	29.0	surroundings		
11	1373225.0	1904	80.0	1000.0	107.0	building		
12	1373475.0	1905	100.0	1105.0	366.0	surroundings		
13	1374675.0	1906	1880.0	987.0	309.0	cell phone	0.5526951271258242	0.2055146007745508
14	1376094.0	1907	220.0	879.0	77.0	building		
15	1376394.0	1908	180.0	654.0	83.0	surroundings		
16	1376574.0	1909	140.0	976.0	55.0	building		
17	1376894.0	1910	140.0	1020.0	51.0	building		
18	1377624.0	1911	200.0	1035.0	37.0	building		
19	1378134.0	1912	180.0	996.0	290.0	surroundings		
20	1378514.0	1913	100.0	675.0	31.0	building		
21	1378754.0	1914	220.0	857.0	37.0	building		
22	1379953.0	1915	700.0	935.0	407.0	cell phone	0.4422761519283989	0.51825638026626
23	1380543.0	1916	440.0	940.0	229.0	cell phone	0.4113554422909294	0.14306559470904293
24	1381033.0	1917	500.0	973.0	344.0	cell phone	0.7922679288371182	0.2775757945640891
25	1381353.0	1918	100.0	882.0	381.0	cell phone	0.5601034498506979	0.34825075863399496
26	1381603.0	1919	200.0	1080.0	634.0	cell phone	0.4871794871794872	0.9537037037037036
27	1383093.0	1920	1140.0	969.0	413.0	cell phone	0.6733195766767164	0.5878083926340472
28	1384342.0	1921	80.0	888.0	44.0	building		
29	1384482.0	1922	160.0	891.0	87.0	building		
30	1384662.0	1923	160.0	811.0	94.0	building		
31	1384822.0	1924	120.0	911.0	125.0	building		
32	1385042.0	1925	300.0	805.0	144.0	building		
33	1385782.0	1926	460.0	708.0	208.0	surroundings		
34	1386912.0	1927	100.0	1202.0	352.0	surroundings		
35	1388061.0	1928	80.0	1008.0	317.0	building		
36	1388191.0	1929	140.0	931.0	320.0	surroundings		
37	1388351.0	1930	140.0	1025.0	307.0	building		
38	1388701.0	1931	80.0	902.0	41.0	building		
39	1389111.0	1932	340.0	837.0	73.0	building		
40	1389471.0	1933	180.0	1152.0	478.0	surroundings		
41	1389681.0	1934	200.0	1093.0	424.0	surroundings		
42	1390041.0	1935	240.0	931.0	306.0	surroundings		
43	1390451.0	1936	100.0	1637.0	18.0	building		
44	1390651.0	1937	140.0	1143.0	81.0	building		
45	1391061.0	1938	80.0	889.0	459.0	surroundings		
46	1391210.0	1939	180.0	1005.0	368.0	surroundings		
47	1392000.0	1940	240.0	870.0	140.0	building		
48	1392340.0	1941	120.0	793.0	165.0	building		
49	1392580.0	1942	280.0	740.0	142.0	surroundings		
50	1392990.0	1943	140.0	1210.0	568.0	surroundings		
51	1393140.0	1944	80.0	1307.0	422.0	surroundings		
52	1393270.0	1945	140.0	1249.0	471.0	surroundings		
53	1393410.0	1946	100.0	1205.0	573.0	surroundings		
54	1393870.0	1947	180.0	874.0	59.0	building		
55	1394150.0	1948	300.0	816.0	183.0	surroundings		
56	1394560.0	1949	480.0	744.0	72.0	building		
57	1395080.0	1950	120.0	1221.0	371.0	surroundings		
58	1395580.0	1951	480.0	883.0	351.0	cell phone	0.5639636259052395	0.3784866549142368
59	1396119.0	1952	580.0	975.0	410.0	cell phone	0.5319871801331477	0.5509130695191906
60	1397699.0	1953	840.0	1015.0	405.0	cell phone	0.5976665182056179	0.5023682284413934
61	1398369.0	1954	340.0	776.0	216.0	surroundings		
62	1399219.0	1955	120.0	935.0	340.0	surroundings		
63	1399399.0	1956	200.0	965.0	333.0	surroundings		
64	1399589.0	1957	140.0	969.0	212.0	surroundings		
65	1400268.0	1958	180.0	978.0	356.0	surroundings		
66	1400478.0	1959	200.0	927.0	257.0	surroundings		
67	1400678.0	1960	120.0	1011.0	188.0	surroundings		
68	1401488.0	1961	140.0	1133.0	303.0	surroundings		
69	1401668.0	1962	140.0	989.0	230.0	surroundings		
70	1402058.0	1963	200.0	1244.0	133.0	surroundings		
71	1402398.0	1964	160.0	789.0	87.0	surroundings		
72	1402888.0	1965	100.0	872.0	137.0	surroundings		
73	1403188.0	1966	140.0	950.0	16.0	surroundings		
74	1403348.0	1967	140.0	854.0	12.0	building		
75	1403588.0	1968	220.0	1253.0	189.0	surroundings		
76	1403787.0	1969	140.0	1214.0	138.0	surroundings		
77	1404737.0	1970	80.0	767.0	409.0	surroundings		
78	1404837.0	1971	80.0	913.0	377.0	surroundings		
79	1405387.0	1972	100.0	889.0	27.0	surroundings		
80	1405667.0	1973	180.0	930.0	675.0	surroundings		
81	1405877.0	1974	120.0	1178.0	552.0	others		
82	1406247.0	1975	100.0	300.0	89.0	surroundings		
83	1406467.0	1976	140.0	965.0	30.0	surroundings		
84	1406657.0	1977	120.0	1192.0	279.0	surroundings		
85	1407167.0	1978	100.0	1152.0	20.0	surroundings		
